WORD,VALIDITY,TYPE,BLOCK,SUBBLOCK
saing,non_word,english,A,2
rulus,non_word,english,A,2
rhows,non_word,english,A,2
reweise,non_word,english,A,2
resune,non_word,english,A,2
respend,non_word,english,A,2
repronse,non_word,english,A,2
reciese,non_word,english,A,2
reatily,non_word,english,A,2
rater,non_word,english,A,2
quorble,non_word,english,A,2
quimpal,non_word,english,A,2
quiete,non_word,english,A,2
prorame,non_word,english,A,2
privet,non_word,english,A,2
prindux,non_word,english,A,2
prezent,non_word,english,A,2
prepident,non_word,english,A,2
prangle,non_word,english,A,2
pover,non_word,english,A,2
popolar,non_word,english,A,2
ponit,non_word,english,A,2
poast,non_word,english,A,2
plurnish,non_word,english,A,2
plorfin,non_word,english,A,2
pliff,non_word,english,A,2
plestun,non_word,english,A,2
plaze,non_word,english,A,2
plaing,non_word,english,A,2
plag,non_word,english,A,2
physicel,non_word,english,A,2
perfet,non_word,english,A,2
parudy,non_word,english,A,2
parrut,non_word,english,A,2
parrts,non_word,english,A,2
pagis,non_word,english,A,2
outcide,non_word,english,A,2
ordar,non_word,english,A,2
nunbers,non_word,english,A,2
nuite,non_word,english,A,2
nown,non_word,english,A,2
notse,non_word,english,A,2
nohice,non_word,english,A,2
nobetook,non_word,english,A,2
neels,non_word,english,A,2
neans,non_word,english,A,2
naybe,non_word,english,A,2
naturul,non_word,english,A,2
nanes,non_word,english,A,2
musik,non_word,english,A,2
murb,non_word,english,A,2
morkle,non_word,english,A,2
monitar,non_word,english,A,2
moddel,non_word,english,A,2
mitilar,non_word,english,A,2
miself,non_word,english,A,2
minusts,non_word,english,A,2
milone,non_word,english,A,2
mibber,non_word,english,A,2
mentune,non_word,english,A,2
mebers,non_word,english,A,2
makis,non_word,english,A,2
macine,non_word,english,A,2
luks,non_word,english,A,2
lowar,non_word,english,A,2
localion,non_word,english,A,2
liwing,non_word,english,A,2
litsts,non_word,english,A,2
litimed,non_word,english,A,2
likelie,non_word,english,A,2
lighht,non_word,english,A,2
leve,non_word,english,A,2
lelal,non_word,english,A,2
learly,non_word,english,A,2
laterr,non_word,english,A,2
laern,non_word,english,A,2
krindel,non_word,english,A,2
komment,non_word,english,A,2
knoledge,non_word,english,A,2
kight,non_word,english,A,2
kelling,non_word,english,A,2
jindrel,non_word,english,A,2
isue,non_word,english,A,2
istelf,non_word,english,A,2
indsted,non_word,english,A,2
includse,non_word,english,A,2
idaes,non_word,english,A,2
hystums,non_word,english,A,2
huose,non_word,english,A,2
histury,non_word,english,A,2
hellps,non_word,english,A,2
hawing,non_word,english,A,2
hapen,non_word,english,A,2
guass,non_word,english,A,2
grumplet,non_word,english,A,2
grumple,non_word,english,A,2
gristone,non_word,english,A,2
grintle,non_word,english,A,2
grench,non_word,english,A,2
graskel,non_word,english,A,2
grait,non_word,english,A,2
grack,non_word,english,A,2
glispen,non_word,english,A,2
glape,non_word,english,A,2
geves,non_word,english,A,2
genurally,non_word,english,A,2
functune,non_word,english,A,2
frundle,non_word,english,A,2
fronker,non_word,english,A,2
frond,non_word,english,A,2
frint,non_word,english,A,2
frindol,non_word,english,A,2
frimble,non_word,english,A,2
franx,non_word,english,A,2
frabble,non_word,english,A,2
fount,non_word,english,A,2
forse,non_word,english,A,2
fone,non_word,english,A,2
folwing,non_word,english,A,2
flind,non_word,english,A,2
flibber,non_word,english,A,2
flerm,non_word,english,A,2
flenvor,non_word,english,A,2
fleedon,non_word,english,A,2
flarve,non_word,english,A,2
fimal,non_word,english,A,2
fethers,non_word,english,A,2
femily,non_word,english,A,2
feild,non_word,english,A,2
exsept,non_word,english,A,2
acatly,non_word,english,A,2
evedence,non_word,english,A,2
estory,non_word,english,A,2
erth,non_word,english,A,2
errur,non_word,english,A,2
efect,non_word,english,A,2
ecudation,non_word,english,A,2
druvex,non_word,english,A,2
drubble,non_word,english,A,2
drouver,non_word,english,A,2
driwer,non_word,english,A,2
driwe,non_word,english,A,2
drivors,non_word,english,A,2
drint,non_word,english,A,2
driblex,non_word,english,A,2
dretorn,non_word,english,A,2
drantle,non_word,english,A,2
dowbt,non_word,english,A,2
dorpine,non_word,english,A,2
digetal,non_word,english,A,2
detales,non_word,english,A,2
decieded,non_word,english,A,2
cuorse,non_word,english,A,2
crindle,non_word,english,A,2
crenst,non_word,english,A,2
creat,non_word,english,A,2
cowntry,non_word,english,A,2
contrel,non_word,english,A,2
contanes,non_word,english,A,2
concider,non_word,english,A,2
commuty,non_word,english,A,2
colus,non_word,english,A,2
colal,non_word,english,A,2
clorve,non_word,english,A,2
clopt,non_word,english,A,2
clieient,non_word,english,A,2
claggle,non_word,english,A,2
chrumble,non_word,english,A,2
chroft,non_word,english,A,2
chreltor,non_word,english,A,2
chrair,non_word,english,A,2
chlone,non_word,english,A,2
chlidren,non_word,english,A,2
chindle,non_word,english,A,2
cherm,non_word,english,A,2
charmet,non_word,english,A,2
chane,non_word,english,A,2
cemidal,non_word,english,A,2
ceenter,non_word,english,A,2
cecond,non_word,english,A,2
cantract,non_word,english,A,2
canot,non_word,english,A,2
cald,non_word,english,A,2
caces,non_word,english,A,2
brundal,non_word,english,A,2
brindor,non_word,english,A,2
brimg,non_word,english,A,2
briffle,non_word,english,A,2
briff,non_word,english,A,2
brak,non_word,english,A,2
braff,non_word,english,A,2
bluud,non_word,english,A,2
blumptor,non_word,english,A,2
blorp,non_word,english,A,2
blistow,non_word,english,A,2
blidge,non_word,english,A,2
blarn,non_word,english,A,2
blakc,non_word,english,A,2
blain,non_word,english,A,2
bildinge,non_word,english,A,2
beelow,non_word,english,A,2
becuase,non_word,english,A,2
beccome,non_word,english,A,2
avrage,non_word,english,A,2
avobe,non_word,english,A,2
aucton,non_word,english,A,2
argee,non_word,english,A,2
anonimus,non_word,english,A,2
amage,non_word,english,A,2
alung,non_word,english,A,2
advanze,non_word,english,A,2
adress,non_word,english,A,2
addid,non_word,english,A,2
कलह ,word,hindi,B,1
दमकल ,word,hindi,B,1
इसपर ,word,hindi,B,1
उतर ,word,hindi,B,1
उतरकर ,word,hindi,B,1
अहम ,word,hindi,B,1
वजन ,word,hindi,B,1
नकल ,word,hindi,B,1
झड़प ,word,hindi,B,1
सबक ,word,hindi,B,1
जहर ,word,hindi,B,1
बनकर ,word,hindi,B,1
नगर ,word,hindi,B,1
नमन ,word,hindi,B,1
बदतर ,word,hindi,B,1
उपज ,word,hindi,B,1
उठकर ,word,hindi,B,1
शपथ ,word,hindi,B,1
हवन ,word,hindi,B,1
भरकर ,word,hindi,B,1
अपहरण ,word,hindi,B,1
चयन ,word,hindi,B,1
गहन ,word,hindi,B,1
जमकर ,word,hindi,B,1
जगत ,word,hindi,B,1
बगल ,word,hindi,B,1
तरस ,word,hindi,B,1
भगत ,word,hindi,B,1
उलझ ,word,hindi,B,1
श्रम ,word,hindi,B,1
आदत ,word,hindi,B,1
कमर ,word,hindi,B,1
अवसर ,word,hindi,B,1
दलदल ,word,hindi,B,1
कलम ,word,hindi,B,1
चरण ,word,hindi,B,1
बारह ,word,hindi,B,1
सलाहकार ,word,hindi,B,1
प्रदान ,word,hindi,B,1
प्रतिदिन ,word,hindi,B,1
माफिया ,word,hindi,B,1
नागरिक ,word,hindi,B,1
तैयार ,word,hindi,B,1
चादर ,word,hindi,B,1
समर्थक ,word,hindi,B,1
गुलशन ,word,hindi,B,1
तालाब ,word,hindi,B,1
पार्वती ,word,hindi,B,1
अथवा ,word,hindi,B,1
अनंत ,word,hindi,B,1
झोपड़ी ,word,hindi,B,1
पाठक ,word,hindi,B,1
जनजाति ,word,hindi,B,1
जगतार ,word,hindi,B,1
हालात ,word,hindi,B,1
दौरान ,word,hindi,B,1
गरीबी ,word,hindi,B,1
विरोध ,word,hindi,B,1
समुदाय ,word,hindi,B,1
मौजूद ,word,hindi,B,1
नायक ,word,hindi,B,1
भाईचारा ,word,hindi,B,1
मासिक ,word,hindi,B,1
वार्षिक ,word,hindi,B,1
कार्यालय ,word,hindi,B,1
गौरतलब ,word,hindi,B,1
पसंद ,word,hindi,B,1
मिसाल ,word,hindi,B,1
अदालत ,word,hindi,B,1
सार्थक ,word,hindi,B,1
सुरक्षित ,word,hindi,B,1
बादल ,word,hindi,B,1
रुपए ,word,hindi,B,1
रक्त ,word,hindi,B,1
जलस्तर ,word,hindi,B,1
ध्वस्त ,word,hindi,B,1
अवश्य ,word,hindi,B,1
व्यस्त ,word,hindi,B,1
उपलक्ष्य ,word,hindi,B,1
स्वस्थ ,word,hindi,B,1
नष्ट ,word,hindi,B,1
समस्त ,word,hindi,B,1
लक्ष्मण ,word,hindi,B,1
अक्सर ,word,hindi,B,1
उत्पन्न ,word,hindi,B,1
पत्थर ,word,hindi,B,1
स्व ,word,hindi,B,1
दफ्तर ,word,hindi,B,1
स्वच्छ ,word,hindi,B,1
महत्व ,word,hindi,B,1
स्पष्ट ,word,hindi,B,1
सख्त ,word,hindi,B,1
जब्त ,word,hindi,B,1
जन्म ,word,hindi,B,1
वक्त ,word,hindi,B,1
मरम्मत ,word,hindi,B,1
खत्म ,word,hindi,B,1
आवश्यक ,word,hindi,B,1
अगस्त ,word,hindi,B,1
व्यक्त ,word,hindi,B,1
टक्कर ,word,hindi,B,1
उपलब्ध ,word,hindi,B,1
स्तर ,word,hindi,B,1
जल्द ,word,hindi,B,1
उक्त ,word,hindi,B,1
सदस्य ,word,hindi,B,1
अध्यक्ष ,word,hindi,B,1
अन्य ,word,hindi,B,1
जागृति ,word,hindi,B,1
प्रदेश ,word,hindi,B,1
परिजन ,word,hindi,B,1
देवर ,word,hindi,B,1
चाहिए ,word,hindi,B,1
शीतल ,word,hindi,B,1
आतंकवाद ,word,hindi,B,1
अंधेरे ,word,hindi,B,1
बातचीत ,word,hindi,B,1
दैनिक ,word,hindi,B,1
मंजूर ,word,hindi,B,1
कंबल ,word,hindi,B,1
शरीर ,word,hindi,B,1
सवार ,word,hindi,B,1
शिकार ,word,hindi,B,1
शासन ,word,hindi,B,1
बाहर ,word,hindi,B,1
सबके ,word,hindi,B,1
वाहन ,word,hindi,B,1
प्रतिवर्ष ,word,hindi,B,1
नाराजगी ,word,hindi,B,1
हवाई ,word,hindi,B,1
मुहैया ,word,hindi,B,1
नगरी ,word,hindi,B,1
लिखित ,word,hindi,B,1
राहत ,word,hindi,B,1
निबंध ,word,hindi,B,1
कैलाश ,word,hindi,B,1
चालक ,word,hindi,B,1
हमने ,word,hindi,B,1
आंकड़ा ,word,hindi,B,1
निकेतन ,word,hindi,B,1
प्रमाण ,word,hindi,B,1
तुलसी ,word,hindi,B,1
महानगर ,word,hindi,B,1
एकजुट ,word,hindi,B,1
कहर ,word,hindi,B,1
वचन ,word,hindi,B,1
शरण ,word,hindi,B,1
मतलब ,word,hindi,B,1
भगदड़ ,word,hindi,B,1
महज ,word,hindi,B,1
कलश ,word,hindi,B,1
लटक ,word,hindi,B,1
अबतक ,word,hindi,B,1
अलग ,word,hindi,B,1
लथपथ ,word,hindi,B,1
अभय ,word,hindi,B,1
नगद ,word,hindi,B,1
गठन ,word,hindi,B,1
नजर ,word,hindi,B,1
अमर ,word,hindi,B,1
एकल ,word,hindi,B,1
मटर ,word,hindi,B,1
पहन ,word,hindi,B,1
कमल ,word,hindi,B,1
उदय ,word,hindi,B,1
कदर ,word,hindi,B,1
मदद ,word,hindi,B,1
असफल ,word,hindi,B,1
हरकत ,word,hindi,B,1
पहल ,word,hindi,B,1
दरअसल ,word,hindi,B,1
उमस ,word,hindi,B,1
बचत ,word,hindi,B,1
आरक्षण ,word,hindi,B,1
वतन ,word,hindi,B,1
बजकर ,word,hindi,B,1
आदर ,word,hindi,B,1
तरह ,word,hindi,B,1
फसल ,word,hindi,B,1
महल ,word,hindi,B,1
भड़क ,word,hindi,B,1
सदन ,word,hindi,B,1
चन्द ,word,hindi,B,1
अन्न ,word,hindi,B,1
जख्म ,word,hindi,B,1
शक्ल ,word,hindi,B,1
उन्नत ,word,hindi,B,1
कष्ट ,word,hindi,B,1
रहस्यमय ,word,hindi,B,1
तख्त ,word,hindi,B,1
मक्खन ,word,hindi,B,1
आनन्द ,word,hindi,B,1
दस्त ,word,hindi,B,1
उच्चतर ,word,hindi,B,1
मध्यम ,word,hindi,B,1
अस्त ,word,hindi,B,1
उज्जवल ,word,hindi,B,1
ध्वज ,word,hindi,B,1
कत्ल ,word,hindi,B,1
छप्पर ,word,hindi,B,1
शख्स ,word,hindi,B,1
स्वर ,word,hindi,B,1
तथ्य ,word,hindi,B,1
खण्ड ,word,hindi,B,1
मच्छर ,word,hindi,B,1
रस्म ,word,hindi,B,1
रद्द ,word,hindi,B,1
वस्त्र ,word,hindi,B,1
सशक्त ,word,hindi,B,1
दस्तक ,word,hindi,B,1
तत्व ,word,hindi,B,1
जबरदस्त ,word,hindi,B,1
जश्न ,word,hindi,B,1
सम्भल ,word,hindi,B,1
अध्ययन ,word,hindi,B,1
वजह ,word,hindi,B,1
अनशन ,word,hindi,B,1
आगमन ,word,hindi,B,1
जबरन ,word,hindi,B,1
तलब ,word,hindi,B,1
रहकर ,word,hindi,B,1
दहन ,word,hindi,B,1
कसर ,word,hindi,B,1
रक्षक ,word,hindi,B,1
हलचल ,word,hindi,B,1
दहशत ,word,hindi,B,1
महक ,word,hindi,B,1
अवगत ,word,hindi,B,1
उसपर ,word,hindi,B,1
पठन ,word,hindi,B,1
नयन ,word,hindi,B,1
सहमत ,word,hindi,B,1
आजकल ,word,hindi,B,1
दशक ,word,hindi,B,1
सहज ,word,hindi,B,1
एकत्र ,word,hindi,B,1
सहन ,word,hindi,B,1
पदक ,word,hindi,B,1
गरम ,word,hindi,B,1
बदलकर ,word,hindi,B,1
उपकरण ,word,hindi,B,1
आचरण ,word,hindi,B,1
पकड़ ,word,hindi,B,1
लहर ,word,hindi,B,1
असर ,word,hindi,B,1
खपत ,word,hindi,B,1
आपस ,word,hindi,B,1
अटल ,word,hindi,B,1
नहर ,word,hindi,B,1
अगर ,word,hindi,B,1
आयकर ,word,hindi,B,1
समक्ष ,word,hindi,B,1
सरल ,word,hindi,B,1
परम ,word,hindi,B,1
बहस ,word,hindi,B,1
गायक ,word,hindi,B,1
अनेक ,word,hindi,B,1
बलिदान ,word,hindi,B,1
धूमधाम ,word,hindi,B,1
ग्राहक ,word,hindi,B,1
निराकरण ,word,hindi,B,1
बर्बादी ,word,hindi,B,1
प्रेरणा ,word,hindi,B,1
चालान ,word,hindi,B,1
खोकर ,word,hindi,B,1
तहसील ,word,hindi,B,1
नजारा ,word,hindi,B,1
वापस ,word,hindi,B,1
आर्थिक ,word,hindi,B,1
प्रहार ,word,hindi,B,1
दोबारा ,word,hindi,B,1
अपहृत ,word,hindi,B,1
मशीन ,word,hindi,B,1
पहले ,word,hindi,B,1
आवारा ,word,hindi,B,1
हिरासत ,word,hindi,B,1
ऊंचाई ,word,hindi,B,1
महीना ,word,hindi,B,1
शरारती ,word,hindi,B,1
रणनीति ,word,hindi,B,1
मजबूती ,word,hindi,B,1
कपूर ,word,hindi,B,1
निगम ,word,hindi,B,1
विवादित ,word,hindi,B,1
किनारे ,word,hindi,B,1
छापेमारी ,word,hindi,B,1
हंगामा ,word,hindi,B,1
कराया ,word,hindi,B,1
तीसरा ,word,hindi,B,1
सहायता ,word,hindi,B,1
गवाही ,word,hindi,B,1
साजिश ,word,hindi,B,1
अपनी ,word,hindi,B,1
अभाव ,word,hindi,B,1
बन्धक ,word,hindi,B,1
असभ्य ,word,hindi,B,1
अक्ल ,word,hindi,B,1
आलस्य ,word,hindi,B,1
मस्तक ,word,hindi,B,1
दण्ड ,word,hindi,B,1
भस्म ,word,hindi,B,1
खच्चर ,word,hindi,B,1
वयस्क ,word,hindi,B,1
अन्तर ,word,hindi,B,1
कत्थक ,word,hindi,B,1
स्तन ,word,hindi,B,1
असत्य ,word,hindi,B,1
अन्त ,word,hindi,B,1
हस्त ,word,hindi,B,1
लक्कड़ ,word,hindi,B,1
दस्तखत ,word,hindi,B,1
नब्ज ,word,hindi,B,1
मगरमच्छ ,word,hindi,B,1
पस्त ,word,hindi,B,1
छप्पन ,word,hindi,B,1
अपशब्द ,word,hindi,B,1
धन्य ,word,hindi,B,1
भक्तजन ,word,hindi,B,1
सभ्य ,word,hindi,B,1
समयबद्ध ,word,hindi,B,1
वचनबद्ध ,word,hindi,B,1
नतमस्तक ,word,hindi,B,1
वल्लभ ,word,hindi,B,1
अल्प ,word,hindi,B,1
बन्द ,word,hindi,B,1
उच्चतम ,word,hindi,B,1
इज्जत ,word,hindi,B,1
मस्त ,word,hindi,B,1
अखवर,non_word,hindi,B,2
अटवर,non_word,hindi,B,2
अपव,non_word,hindi,B,2
अमरल,non_word,hindi,B,2
अवगतन,non_word,hindi,B,2
अशल,non_word,hindi,B,2
आघमन,non_word,hindi,B,2
आदस,non_word,hindi,B,2
आरकण,non_word,hindi,B,2
आरक्ष,non_word,hindi,B,2
इधम,non_word,hindi,B,2
उगर,non_word,hindi,B,2
उठखर,non_word,hindi,B,2
उठर,non_word,hindi,B,2
उतरक,non_word,hindi,B,2
उनड़,non_word,hindi,B,2
उपक,non_word,hindi,B,2
उपहल,non_word,hindi,B,2
उमठ,non_word,hindi,B,2
कदरल,non_word,hindi,B,2
कमम,non_word,hindi,B,2
कसण,non_word,hindi,B,2
कसरन,non_word,hindi,B,2
खबरल,non_word,hindi,B,2
खबल,non_word,hindi,B,2
गगनल,non_word,hindi,B,2
गहण,non_word,hindi,B,2
घटन,non_word,hindi,B,2
घलक,non_word,hindi,B,2
चमकल,non_word,hindi,B,2
अंदेरे,non_word,hindi,B,2
अमिल,non_word,hindi,B,2
अवाव,non_word,hindi,B,2
अवैल,non_word,hindi,B,2
आदमि,non_word,hindi,B,2
आदमे,non_word,hindi,B,2
आपणी,non_word,hindi,B,2
आरकल,non_word,hindi,B,2
आर्थीक,non_word,hindi,B,2
आवार,non_word,hindi,B,2
इंसाण,non_word,hindi,B,2
उपमंदल,non_word,hindi,B,2
करोण,non_word,hindi,B,2
कारिल्य,non_word,hindi,B,2
कुपूर,non_word,hindi,B,2
खबकी,non_word,hindi,B,2
खलाफ,non_word,hindi,B,2
खोकरा,non_word,hindi,B,2
गरबी,non_word,hindi,B,2
गायोक,non_word,hindi,B,2
चदार,non_word,hindi,B,2
चहला,non_word,hindi,B,2
चातर,non_word,hindi,B,2
